game_id,name,boardgamedesigner,boardgameartist,yearpublished,minplayers,maxplayers,minage,playingtime,minplaytime,maxplaytime,boardgamepublisher,boardgamecategory,boardgamefamily,boardgamemechanic,AbstractGameRank_min,AbstractGameRank_min_date,AbstractGameRank_max,AbstractGameRank_max_date,first_date_in_ref,BoardGameRank_min,BoardGameRank_min_date,BoardGameRank_max,BoardGameRank_max_date,ChildrensGameRank_min,ChildrensGameRank_min_date,ChildrensGameRank_max,ChildrensGameRank_max_date,CustomizableRank_min,CustomizableRank_min_date,CustomizableRank_max,CustomizableRank_max_date,FamilyGameRank_min,FamilyGameRank_min_date,FamilyGameRank_max,FamilyGameRank_max_date,PartyGameRank_min,PartyGameRank_min_date,PartyGameRank_max,PartyGameRank_max_date,StrategyGameRank_min,StrategyGameRank_min_date,StrategyGameRank_max,StrategyGameRank_max_date,ThematicRank_min,ThematicRank_min_date,ThematicRank_max,ThematicRank_max_date,WarGameRank_min,WarGameRank_min_date,WarGameRank_max,WarGameRank_max_date,bgg_url
124,Primordial Soup,"['Doris Matthäus', 'Frank Nestel']",['Doris Matthäus'],1997,3,4,12,90,90,90,"['Doris & Frank', 'Z-Man Games']",['Prehistoric'],"['Theme: Bacteria', 'Theme: Biology', 'Theme: Evolution', 'Theme: Science']","['Bias', 'Dice Rolling', 'Grid Movement', 'Variable Player Powers']",,,,,2018-10-06,696,2018-10-20,1029,2022-03-12,,,,,,,,,,,,,,,,,418,2018-10-06,602,2022-03-12,,,,,,,,,https://boardgamegeek.com/boardgame/124
121410,Steam Park,"['Aureliano Buonfino', 'Lorenzo Silva', 'Lorenzo Tucci Sorrentino']",['Marie Cardouat'],2013,2,4,10,60,60,60,"['Cranio Creations', 'ADC Blackfire Entertainment', 'Edge Entertainment', 'Heidelberger Spieleverlag', 'Hobby Japan', 'Horrible Guild', 'IELLO', 'Trefl Joker Line', 'Нескучные игры']","['City Building', 'Dice', 'Real-time', 'Science Fiction']","['Components: 3-Dimensional (3D)', 'Components: Dice with Icons', 'Game: Steam Park', 'Theme: Amusement Parks / Theme Parks', 'Theme: Robots', 'Theme: Steampunk']","['Dice Rolling', 'Memory', 'Modular Board', 'Open Drafting']",,,,,2018-10-06,697,2018-10-06,1030,2022-03-12,,,,,,,,,162,2018-10-06,273,2022-03-05,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/121410
244049,Forum Trajanum,['Stefan Feld'],['Michael Menzel'],2018,2,4,12,120,60,120,"['HUCH!', 'dV Giochi', 'Gameland 游戏大陆', 'Games Factory', 'Maldito Games', 'Stronghold Games']","['City Building', 'Puzzle', 'Territory Building']","['Ancient: Rome', 'Digital Implementations: Yucata']","['Square Grid', 'Tile Placement', 'Variable Player Powers']",,,,,2019-01-19,971,2021-01-23,1944,2019-01-19,,,,,,,,,,,,,,,,,496,2020-05-16,583,2019-07-06,,,,,,,,,https://boardgamegeek.com/boardgame/244049
104020,Vanuatu,['Alain Epron'],['Cédrick Le Bihan'],2011,2,5,12,90,90,90,"['Krok Nik Douil editions', 'Asterion Press', 'Coffee Haus Games', 'HUCH!']","['Economic', 'Nautical']","['Country: Vanuatu', 'Crowdfunding: Indiegogo', 'Digital Implementations: Boiteajeux', 'Region: Oceania', 'Theme: Tropical', 'Theme: Tropical Islands']","['Auction/Bidding', 'Grid Movement', 'Market', 'Modular Board', 'Tile Placement', 'Variable Phase Order', 'Worker Placement']",,,,,2018-10-06,678,2018-10-20,1032,2022-03-12,,,,,,,,,,,,,,,,,378,2018-10-06,558,2022-03-12,,,,,,,,,https://boardgamegeek.com/boardgame/104020
257518,Claustrophobia 1643,"['Croc', 'Laurent Pouchain']","['David Demaret', 'Gautier Giroud', 'Martin Lavat', 'Stéphane Nguyen', 'Milan Nikolic', 'Pascal Quidault', 'Stéphane Simon']",2019,2,2,14,90,45,90,['Monolith'],"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Medieval', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Official Music Soundtrack', 'Creatures: Demons', 'Crowdfunding: Kickstarter', 'Players: Two Player Only Games']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Variable Player Powers']",,,,,2019-03-09,953,2021-01-16,1894,2019-03-09,,,,,,,,,,,,,,,,,,,,,135,2020-09-19,267,2019-03-30,,,,,https://boardgamegeek.com/boardgame/257518
17396,Manoeuvre,['Jeff Horger'],"['Jean Baptiste Édouard Detaille', 'Knut Grünitz', 'Rodger B. MacGowan']",2008,2,2,12,60,60,60,['GMT Games'],"['Napoleonic', 'Wargame']","['Country: Austria', 'Country: France', 'Country: Great Britain', 'Country: Prussia', 'Country: Russia', 'Country: Spain', 'Country: Turkey', 'Country: USA', 'Players: Two Player Only Games']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Square Grid', 'Variable Player Powers']",,,,,2018-10-06,666,2018-10-06,1034,2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,112,2019-03-09,135,2021-09-18,https://boardgamegeek.com/boardgame/17396
205597,Jump Drive,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan', 'Mirko Suzuki', 'Jens Wiese']",2017,2,4,13,30,10,30,"['Rio Grande Games', 'Matagot', 'Pegasus Spiele']","['Card Game', 'Science Fiction', 'Space Exploration']","['Components: Multi-Use Cards', 'Game: Race for the Galaxy']","['Hand Management', 'Simultaneous Action Selection']",,,,,2018-10-06,914,2019-03-30,1036,2022-02-19,,,,,,,,,197,2018-10-06,257,2021-10-23,,,,,504,2019-02-02,600,2022-03-12,,,,,,,,,https://boardgamegeek.com/boardgame/205597
195162,Plague Inc.: The Board Game,['James Vaughan'],['Collette Tarbuck'],2017,1,4,14,60,60,60,['Ndemic Creations'],"['Medical', 'Video Game Theme']","['Crowdfunding: Kickstarter', 'Medical: Diseases', 'Players: Games with Solitaire Rules', 'Region: The World', 'Theme: Biology', 'Theme: Science', 'Theme: Villainy']","['Area Majority / Influence', 'Hand Management', 'Network and Route Building', 'Simulation', 'Take That', 'Tile Placement', 'Worker Placement']",,,,,2018-10-06,828,2018-11-24,1036,2022-03-12,,,,,,,,,,,,,,,,,500,2018-12-08,638,2022-03-12,,,,,,,,,https://boardgamegeek.com/boardgame/195162
262941,Dominant Species: Marine,['Chad Jensen'],"['Chad Jensen', 'Chechu Nieto']",2021,2,4,14,150,90,150,"['GMT Games', 'PHALANX', 'Udo Grebe Gamedesign']","['Animals', 'Environmental', 'Prehistoric']","['Animals: prehistoric non-Dinosaurs', 'Game: Dominant Species', 'Mechanism: 4X', 'Theme: Evolution']","['Area Majority / Influence', 'Grid Movement', 'Modular Board', 'Open Drafting', 'Tile Placement', 'Variable Phase Order', 'Variable Player Powers', 'Worker Placement']",,,,,2021-03-20,1037,2022-03-12,4235,2021-03-20,,,,,,,,,,,,,,,,,466,2022-03-12,1132,2021-04-17,,,,,,,,,https://boardgamegeek.com/boardgame/262941
261114,Men at Work,['Rita Modl'],"['Bernard Bittler', 'Chris Quilliams']",2019,2,5,8,45,30,45,"['Pretzel Games', 'Pegasus Spiele']",['Action / Dexterity'],"['Mechanism: Tower Stacking', 'Theme: Construction']",['Stacking and Balancing'],,,,,2020-01-25,1031,2022-01-15,1279,2020-01-25,,,,,,,,,232,2021-11-06,293,2020-01-25,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/261114
315767,Cartographers Heroes,"['Jordy Adan', 'John Brieger']","['Jordy Adan', 'Davey Baker', 'John Brieger', 'Lucas Ribeiro']",2021,1,100,10,45,30,45,"['Thunderworks Games', 'Gameland 游戏大陆', 'Gen-X Games', 'Hobby World', 'Intrafin Games', 'Mandoo Games', 'Ogry Games', 'Pegasus Spiele', 'Reflexshop', 'REXhry']","['Fantasy', 'Territory Building']","['Components: Polyominoes', 'Crowdfunding: Kickstarter', 'Mechanism: Flip-and-Write', 'Players: Games with Solitaire Rules', 'Setting: World of Ulos']","['Bingo', 'Grid Coverage', 'Line Drawing', 'Paper-and-Pencil']",,,,,2021-09-18,1039,2022-03-12,4808,2021-09-18,,,,,,,,,192,2022-03-12,593,2021-11-20,,,,,515,2022-03-12,1064,2021-11-20,,,,,,,,,https://boardgamegeek.com/boardgame/315767
206051,Insider,"['Kwaji', 'Daichi Okano', 'Kito Shinma', 'ｱｷﾋﾛｲﾄｵ (Akihiro Itoh)']",['Jun Sasaki'],2016,4,8,9,15,15,15,"['Oink Games', 'PopcornEdu', 'Tower Tactic Games']","['Bluffing', 'Deduction', 'Party Game']",['Components: Sand Timers'],"['Cooperative Game', 'Hidden Roles', 'Team-Based Game', 'Voting']",,,,,2018-10-06,574,2018-10-27,1108,2019-05-04,,,,,,,,,,,,,40,2021-10-02,49,2019-02-02,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/206051
278,Catan Card Game,['Klaus Teuber'],"['Tanja Donner', 'Pete Fenlon', 'Jason Hawkins', 'Michaela Kienle', 'Matt Schwabel', 'Klaus Teuber', 'Franz Vohwinkel', 'Stephen Graham Walsh']",1996,2,2,10,120,60,120,"['KOSMOS', '999 Games', 'Albi', 'Competo / Marektoy', 'Devir', 'Filosofia Éditions', 'Galakta', 'Giochi Uniti', 'Kaissa Chess & Games', 'Laser plus', 'Mayfair Games', 'Piatnik', 'Smart Ltd', 'Tilsit']","['Card Game', 'City Building', 'Territory Building']","['Game: Catan', 'Game: Catan Card Game', 'Players: Two Player Only Games', 'Series: Two-player games (Kosmos)', 'Versions & Editions: Card Versions of Non-Card Games']","['Dice Rolling', 'Hand Management', 'Open Drafting', 'Trading']",,,,,2018-10-06,760,2018-10-06,1041,2022-03-12,,,,,,,,,,,,,,,,,510,2018-10-06,684,2022-03-12,,,,,,,,,https://boardgamegeek.com/boardgame/278
206931,Encore!,"['Inka Brand', 'Markus Brand']",['Leon Schiffer'],2016,1,6,8,20,20,20,"['Schmidt Spiele', '999 Games', 'Devir', 'Stronghold Games']",['Dice'],"['Admin: Better Description Needed!', 'Components: Dice with Icons', 'Mechanism: Dice Drafting', 'Mechanism: Roll-and-Write', 'Players: Games with Solitaire Rules', 'Series: Klein & Fein (Schmidt Spiele)']","['Dice Rolling', 'Paper-and-Pencil', 'Solo / Solitaire Game']",,,,,2019-05-18,998,2021-05-08,1139,2019-05-18,,,,,,,,,239,2021-03-20,260,2022-01-01,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/206931
286751,Zombicide: 2nd Edition,"['Raphaël Guiton', 'Jean-Baptiste Lullien', 'Nicolas Raoult']","['Édouard Guiton', 'Thierry Masson', 'Eric Nouhaut']",2021,1,6,14,60,60,60,"['CMON Global Limited', 'ADC Blackfire Entertainment', 'Asmodee Italia', 'BoardM Factory', 'Edge Entertainment', 'Galápagos Jogos', 'Guillotine Games', 'Hobby World', 'Portal Games', 'YOKA Games']","['Horror', 'Miniatures', 'Zombies']","['Category: Dungeon Crawler', 'Creatures: Zombies', 'Game: Zombicide']","['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Multiple Maps', 'Scenario / Mission / Campaign Game', 'Team-Based Game']",,,,,2021-05-08,1043,2022-03-12,4004,2021-05-08,,,,,,,,,,,,,,,,,,,,,184,2022-03-05,497,2021-06-05,,,,,https://boardgamegeek.com/boardgame/286751
187377,Vikings Gone Wild,['Julien Vergonjeanne'],['Mateusz Komada'],2017,2,4,10,90,45,90,"['Corax Games', 'Games Factory', 'Hobby World', 'Last Level', 'Lucky Duck Games']","['Card Game', 'City Building', 'Fantasy', 'Humor', 'Medieval', 'Mythology', 'Video Game Theme']","['Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Digital Implementations: Tabletopia', 'Theme: Vikings']","['Deck, Bag, and Pool Building', 'Hand Management']",,,,,2018-10-06,765,2018-10-06,1044,2022-03-12,,,,,,,,,,,,,,,,,445,2018-11-03,618,2022-03-12,176,2018-10-06,192,2019-06-01,,,,,https://boardgamegeek.com/boardgame/187377
34084,Witch's Brew,['Andreas Pelikan'],"['Julien Delval', 'Harald Lieske']",2008,3,5,9,60,30,60,"['alea', 'Ravensburger', 'Filosofia Éditions', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'uplay.it edizioni']","['Bluffing', 'Card Game', 'Fantasy']","['Series: Alea Medium Box', 'Theme: Witches']","['Hand Management', 'Simultaneous Action Selection']",,,,,2018-10-06,703,2018-10-06,1045,2022-03-12,,,,,,,,,145,2018-11-24,255,2022-03-05,,,,,412,2018-10-06,593,2022-02-26,,,,,,,,,https://boardgamegeek.com/boardgame/34084
154246,La Isla,['Stefan Feld'],['Alexander Jung'],2014,2,4,10,60,30,60,"['alea', 'Ravensburger']",['Animals'],"['Components: Multi-Use Cards', 'Digital Implementations: Yucata', 'Series: Alea Medium Box', 'Theme: Tropical', 'Theme: Tropical Islands']","['Action Queue', 'Enclosure', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection']",,,,,2018-10-06,746,2018-10-13,1046,2022-03-12,,,,,,,,,168,2018-10-13,271,2022-03-05,,,,,439,2018-10-13,616,2022-03-12,,,,,,,,,https://boardgamegeek.com/boardgame/154246
